request_id,quote_id,quote_price,hired,pro_id
172,39154405,171,1,1646950
174,38226205,NA,1,11269854
175,38410930,80,0,9619673
175,38382795,200,0,5181977
175,38378519,35,0,14154907
176,38728780,295,0,10617673
176,38701514,380,0,276936
176,38722435,NA,1,5123959
176,38700259,199,0,506617
177,38628634,NA,0,5824107
177,38625319,NA,0,14519141
177,38625216,NA,1,14662975
178,39245731,250,0,15956470
178,39240876,33,0,14589340
179,38591066,613,0,14729813
179,38596697,NA,0,12762378
179,39658179,413,0,16770091
180,38974356,NA,0,6427711
180,38968216,NA,0,6183916
180,38959294,NA,0,5536109
181,38850848,450,0,276936
181,38850889,NA,0,6355964
181,38849010,NA,0,5692663
181,38851312,195,0,3527602
181,38848796,NA,0,7249236
184,38219403,159,0,10897618
185,39177456,150,0,9891496
185,39188639,120,0,9630408
185,39114087,199,0,16473876
185,39122696,150,0,13838406
185,39111462,139,1,9993872
186,38770740,65,0,15436466
186,38734922,84,0,15318025
187,38944321,NA,0,10660468
188,39262985,250,0,10617673
188,39259552,199,1,506617
189,39311557,NA,0,16662200
189,39310555,NA,0,9975963
189,39317265,NA,0,858857
189,39314218,175,0,10164102
189,39311925,NA,1,5783620
191,39439726,0,0,7427501
192,38765758,215,1,16111090
193,37826342,NA,0,11189445
195,38044333,NA,0,9519370
196,39433171,150,0,3865167
196,39433053,175,0,8295622
196,39436257,100,0,16139016
198,37918682,NA,0,15432780
198,37914612,NA,0,15971385
198,37919915,NA,0,4544442
198,37924234,NA,0,13078111
198,37917544,NA,0,13034456
200,38885553,140,1,5772209
200,38893061,120,0,11345867
201,38911029,130,0,7430973
202,38200655,NA,0,8907850
203,38551376,NA,1,6166853
203,39654891,402,0,16766803
205,39157820,525,1,8489543
205,39157823,NA,0,13109248
206,38480941,150,0,10192694
206,38449222,16,0,10307987
206,38442218,285,1,13361841
206,38493397,350,0,9820596
207,39003786,340,0,12036191
207,39654892,336,0,16766804
208,39347011,NA,1,4384768
209,38929310,NA,0,4710058
209,38961557,NA,0,4525178
210,38129248,300,1,2130578
210,38129924,NA,0,2780245
210,39654893,392,0,16766805
211,38472901,NA,0,7488185
211,38517218,NA,1,4140740
212,38242391,NA,1,14662975
213,39470626,NA,0,16640267
214,39393530,NA,0,2646809
215,37841256,NA,1,5783620
215,37845772,NA,0,10235292
215,37847657,NA,0,5423509
215,39656377,345,0,16768289
217,38786101,NA,0,9100623
217,38732395,NA,0,7542497
217,38735156,290,0,12036191
217,38732247,NA,0,8411521
217,39654894,399,0,16766806
219,39472433,NA,0,7488185
219,39439820,NA,0,2922682
219,39658180,392,0,16770092
220,38722008,195,0,64300
220,38725817,NA,0,3357296
220,39654895,360,0,16766807
221,39564301,195,0,64300
221,39564494,NA,0,6559912
221,39656378,366,0,16768290
222,38500696,NA,0,123225
224,38487621,NA,0,4442755
224,38495780,NA,0,12909323
224,39654896,311,0,16766808
225,39020205,225,0,9102073
225,39006885,250,0,6431779
227,38501135,100,0,8586553
227,38514568,159,0,8764809
229,38600499,NA,1,14572025
229,38558787,NA,0,15079889
229,38544781,NA,0,2612614
229,39654897,369,0,16766809
231,38342271,355,0,5015135
231,39654898,348,0,16766810
233,38098248,NA,1,14084714
233,38104152,NA,0,13094078
233,38115252,480,0,276936
234,39261317,NA,1,1763807
234,39272787,NA,0,14095541
235,38020759,90,0,630036
235,38021098,NA,0,14830113
235,38034077,125,0,126708
237,39240339,125,0,13899337
238,38180254,NA,0,4860931
238,38174721,NA,0,13368627
238,39654899,376,0,16766811
239,39030010,NA,0,1492364
239,39003194,NA,0,6355964
239,39001133,295,0,3527602
241,39218660,NA,0,13321253
241,39178515,NA,0,5482619
241,39160995,NA,0,16616534
241,39654900,366,0,16766812
246,38073867,225,1,12153507
246,38077704,NA,0,851539
246,39656380,406,0,16768292
247,37825714,NA,0,5674183
247,37790311,NA,0,12257872
247,37790269,NA,0,12417142
247,37790243,275,0,13463570
248,38781231,110,0,8854269
250,37838691,170,0,16089049
250,37849753,250,0,587476
251,39336774,1,0,16468767
252,38662110,NA,0,5712795
252,38628231,NA,0,4806124
252,38628202,NA,1,7182917
252,38628992,NA,0,15852300
252,39654901,375,0,16766813
253,39056738,395,1,95758
254,38479438,150,0,15886997
255,38164260,NA,1,6302273
255,39654902,366,0,16766814
256,38110467,170,0,5587578
256,38127022,NA,0,14854154
257,38340361,NA,0,776101
257,38340211,NA,1,7542497
257,39658181,447,0,16770093
258,38486879,75,1,11457219
259,38312762,175,0,6752048
259,38311950,350,0,3920387
259,38311497,160,1,765639
260,37805190,NA,1,4384768
262,38937414,NA,1,5864613
262,39654903,381,0,16766815
263,38535904,275,1,10617673
263,38529289,380,0,276936
263,38529361,NA,0,15284382
265,38833666,480,1,276936
266,38283455,1,0,15552909
267,38435522,150,0,10459392
267,38436441,650,0,16185175
267,38435657,30,0,43930
269,38087272,99,0,10897618
269,38085842,75,0,16213712
269,38087318,80,0,15874332
270,39654904,354,0,16766816
271,38655498,NA,0,10401568
271,38650935,NA,0,13321253
271,38665008,799,0,2804180
273,39032876,170,0,13308788
273,39156558,150,0,14123010
273,39004425,175,0,6647893
273,39003961,168,0,1990310
273,39009763,135,0,8789399
275,39343706,NA,1,8411521
275,39343710,NA,0,7542497
275,39654905,344,0,16766817
276,38810113,120,0,16442779
276,38804261,175,0,15875368
277,39656381,382,0,16768293
278,39455874,NA,1,9544229
278,39654906,348,0,16766818
279,38251088,NA,0,2612614
279,38256483,NA,0,2920900
280,38951836,315,0,5015135
280,38942061,NA,0,6521959
280,39654907,325,0,16766819
281,39488637,150,0,2783093
281,39534061,16,1,8431452
